Date,PM2.5 Anand vihar,PM2.5 Bawana,PM2.5 DTU,PM2.5 Vivek Vihar
14-02-2017,139.63,0.0,190.5,0
15-02-2017,157.83,0.0,159.1,0
16-02-2017,130.08,0.0,150.99,0
17-02-2017,122.15,0.0,159.44,0
18-02-2017,116.95,0.0,160.01,0
19-02-2017,145.78,0.0,170.39,0
20-02-2017,153.11,0.0,130.8,0
21-02-2017,107.59,0.0,134.92,0
22-02-2017,92.26,0.0,97.07,0
23-02-2017,76.61,0.0,80.96,0
24-02-2017,0,0.0,95.26,0
25-02-2017,0,0.0,134.32,0
26-02-2017,70.23,0.0,120.38,0
27-02-2017,98.93,0.0,188.66,0
28-02-2017,140.34,0.0,144.31,0
01-03-2017,52.83,0.0,111.9,0
02-03-2017,126.72,0.0,69.52,0
03-03-2017,69.54,0.0,113.64,0
04-03-2017,74.52,0.0,145.16,0
05-03-2017,93.53,0.0,131.08,0
06-03-2017,112.39,0.0,133.58,0
07-03-2017,140.36,0.0,59.06,0
08-03-2017,76.57,0.0,61.03,0
09-03-2017,0,0.0,47.42,0
10-03-2017,0,0.0,35.17,0
11-03-2017,55.24,0.0,68.94,0
12-03-2017,77.59,0.0,86.62,0
13-03-2017,84.32,0.0,88.39,0
14-03-2017,145.44,0.0,112.88,0
15-03-2017,141.42,0.0,137.8,0
16-03-2017,156.98,0.0,127.73,0
17-03-2017,141.67,0.0,111.11,0
18-03-2017,115.69,0.0,147.44,0
19-03-2017,171.32,0.0,156.52,0
20-03-2017,131.69,0.0,161.89,0
21-03-2017,160.49,0.0,169.91,0
22-03-2017,150.21,0.0,185.9,0
23-03-2017,172.37,0.0,119.17,0
24-03-2017,121.65,0.0,97.78,0
25-03-2017,85.04,0.0,108.65,0
26-03-2017,89.52,0.0,87.59,0
27-03-2017,78.3,0.0,149.35,0
28-03-2017,118.87,0.0,140.27,0
29-03-2017,121.67,0.0,0,0
30-03-2017,71.95,0.0,210.87,0
31-03-2017,103.17,0.0,132.52,0
01-04-2017,112.56,0.0,103.48,0
02-04-2017,84.69,0.0,119.56,0
03-04-2017,79.1,0.0,69.15,0
04-04-2017,97.55,0.0,45.69,0
05-04-2017,49.28,0.0,70.27,0
06-04-2017,70.88,0.0,145.61,0
07-04-2017,139.02,0.0,151.58,0
08-04-2017,181.67,0.0,35.58,0
09-04-2017,47.48,0.0,58.54,0
10-04-2017,58.11,0.0,74.47,0
11-04-2017,71.65,0.0,125.88,0
12-04-2017,97.61,0.0,173.53,0
13-04-2017,237.97,0.0,165.54,0
14-04-2017,237.26,0.0,183.01,0
15-04-2017,212.19,0.0,207.51,0
16-04-2017,192.43,0.0,121.84,0
17-04-2017,116.71,0.0,145.44,0
18-04-2017,147.42,0.0,108.11,0
19-04-2017,193.69,0.0,127.44,0
20-04-2017,217.63,0.0,115.72,0
21-04-2017,97.48,0.0,104.64,0
22-04-2017,0,0.0,91.11,0
23-04-2017,128.02,0.0,65.17,0
24-04-2017,125.55,0.0,80.85,0
25-04-2017,89.44,0.0,77.91,0
26-04-2017,113.96,0.0,77.77,0
27-04-2017,131.51,0.0,86.74,0
28-04-2017,159.81,0.0,107.97,0
29-04-2017,179.41,0.0,70.17,0
30-04-2017,87.27,0.0,73.09,0
01-05-2017,103.69,0.0,178.69,0
02-05-2017,234.29,0.0,139.61,0
03-05-2017,160.95,0.0,103.19,0
04-05-2017,127.84,0.0,0,0
05-05-2017,213.26,0.0,0,0
06-05-2017,268.44,0.0,33.5,0
07-05-2017,267.82,0.0,0,0
08-05-2017,181.56,0.0,0,0
09-05-2017,93.78,0.0,0,0
10-05-2017,72.07,0.0,0,0
11-05-2017,114.71,0.0,114.14,0
12-05-2017,200.71,0.0,166.67,0
13-05-2017,285.37,0.0,303,0
14-05-2017,134.68,0.0,70.31,0
15-05-2017,194.04,0.0,76.17,0
16-05-2017,102.76,0.0,87.71,0
17-05-2017,77.88,0.0,109.21,0
18-05-2017,215.87,0.0,106.7,0
19-05-2017,189.34,0.0,80.46,0
20-05-2017,355.76,0.0,122.61,0
21-05-2017,183.78,0.0,125.84,0
22-05-2017,99.19,0.0,145.39,0
23-05-2017,177.29,0.0,115.16,0
24-05-2017,0,0.0,90.51,0
25-05-2017,91.09,0.0,102.75,0
26-05-2017,103.39,0.0,55.36,0
27-05-2017,53.25,0.0,41.96,0
28-05-2017,36.64,0.0,50.25,0
29-05-2017,46.95,0.0,69.49,0
30-05-2017,60.51,0.0,65.96,0
31-05-2017,63.54,0.0,106.45,0
01-06-2017,110.88,0.0,138.3,0
02-06-2017,142.56,0.0,118.3,0
03-06-2017,141.93,0.0,110.45,0
04-06-2017,125.17,0.0,87.36,0
05-06-2017,62.22,0.0,0,0
06-06-2017,76.22,0.0,28.9,0
07-06-2017,41.11,0.0,54.89,0
08-06-2017,0,0.0,116.99,0
09-06-2017,0,0.0,82.91,0
10-06-2017,0,0.0,38.49,0
11-06-2017,0,0.0,87.79,0
12-06-2017,0,0.0,57.23,0
13-06-2017,0,0.0,65.93,0
14-06-2017,0,0.0,81.26,0
15-06-2017,0,0.0,52.41,0
