From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
24-02-2019 16:00,231.41,38.83,108.67,0.56,1.65,3.84,66.52,12.73,15.79,26.71,31.29,88.22
25-02-2019 00:00,303.12,10.12,92.49,0.3,1.37,6.38,47.46,5.72,15.09,32.71,28.64,183.16
25-02-2019 08:00,233.81,8.68,106.69,1.03,1.58,3.72,60.61,43.13,43.53,32.81,36.78,108.56
25-02-2019 16:00,151.12,21.31,112.03,1.13,1.76,3.54,64.4,17.65,18.31,29.32,46.63,57.12
26-02-2019 00:00,193.88,20.08,81.6,0.45,1.17,4.01,46.76,21.29,15.83,31.24,49.68,88.28
26-02-2019 08:00,184.97,4.38,65.21,1.26,1.03,3.32,33.39,36.93,30.83,36.01,32.01,78.38
26-02-2019 16:00,105.31,7.39,74.84,2.03,1.04,2.31,40.26,26.79,15.05,29.72,38.37,44.06
27-02-2019 00:00,111.69,7.49,59.14,0.67,0.85,1.98,29.5,19.83,12.74,25.15,54.44,58.41
27-02-2019 08:00,185.93,40.28,65.96,0.69,1.01,3.06,45.36,7.73,17.36,29.55,22.64,89.86
27-02-2019 16:00,267.5,14.13,98.39,0.3,1.56,5.79,56.51,3.57,18.84,23.41,28.46,183.64
28-02-2019 00:00,500.81,25.03,90.9,0.3,1.71,6.8,61.99,8.07,16.26,28.55,33.5,205.91
28-02-2019 08:00,271.38,34.41,91.2,1.75,2.11,3.27,51.88,20.29,20.37,37.02,28.94,109.41
28-02-2019 16:00,209.81,25.01,93.54,0.94,1.79,3.78,57.03,13.2,13.56,25.36,31.43,72.38
01-03-2019 00:00,297.84,28.44,89.96,0.32,1.32,4.76,61.02,3.57,13.81,30.93,34.32,115.25
01-03-2019 08:00,243.47,40.81,103.44,1.25,1.18,3.57,69.5,23.98,18.42,34.21,28.32,92.88
01-03-2019 16:00,290.19,26.75,112.8,0.48,1.84,4.72,58.04,9.62,17.08,29.29,37.52,88.91
02-03-2019 00:00,278.81,11.14,88,0.31,1.36,5.91,48.33,4.81,15.36,38.78,39.71,122.81
02-03-2019 08:00,302.16,11.77,111.42,0.89,1.78,6.3,56.41,20.45,42.09,48.85,50.62,163.75
02-03-2019 16:00,103.62,12.06,105.02,0.67,1.08,3.86,62.25,14.86,16.3,35.77,40.74,66.41
03-03-2019 00:00,101.09,3.4,68.88,0.88,1.12,2.99,37.82,34.74,16.71,34.8,44.99,78.62
03-03-2019 08:00,80.56,2.78,50.82,1.44,1.08,2.06,27.29,20.2,18.23,31.48,27.65,50.72
03-03-2019 16:00,277.47,15.07,83.87,0.42,2.04,3.99,46.6,11.87,13.19,34.44,42.54,85.12
04-03-2019 00:00,373.59,18.96,58.34,0.3,1.96,6.87,37.86,34.42,9.2,42.51,43.47,162.97
04-03-2019 08:00,299.19,19.49,121.3,1.13,1.43,5.69,61.74,16.87,17.57,50.78,32.15,125.31
04-03-2019 16:00,253.88,31.36,75.72,1.18,0.76,3.43,53.47,10.56,8.13,41.39,32.34,63.81
05-03-2019 00:00,181.38,26.54,65.77,0.55,4.24,3.01,48.75,7.67,8.32,35.59,24.01,68.59
05-03-2019 08:00,250.75,24.51,88.07,1.73,1.06,2.51,49.96,17.43,13.04,32.73,24.21,73.09
05-03-2019 16:00,305.38,31.72,90.36,0.8,1.82,4.98,60.67,9.34,11.38,25.72,35.12,71.44
06-03-2019 00:00,355.41,23.77,74.21,0.31,3.51,6.79,47.45,6.3,7.78,36.36,37.13,129.72
